Block Name,Point ID,Cp,Mach_0,Mach_1,Mach_2,Mach_Magnitude,P0oPinf0,PoPinf,Points_0,Points_1,Points_2,Points_Magnitude,Result,Utot_0,Utot_1,Utot_2,Utot_Magnitude,arc_length,density,p,pressure,rho,stagnationpressure,u,v,w
unnamed_block_0,10,-0.0272500886825,0,0,0,0,0.990132971768,0.999735716659,0.475100121127,0,0.107601439681,0.487132625592,0.475100121127,0,0,0,0,0.0469844716143,1.2218378011,0.714096940471,101298.22149,0.997418613145,101298.22149,0,0,0
unnamed_block_0,11,-0.0214341288083,0,0,0,0,0.990188835711,0.999792122395,0.47804978493,0,0.106725933061,0.48981835578,0.47804978493,0,0,0,0,0.050061325266,1.22190673798,0.714137230282,101303.936802,0.997474888148,101303.936802,0,0,0
unnamed_block_0,12,-0.00986370130351,0,0,0,0,0.990299972946,0.999904337488,0.483627929439,0,0.105010586731,0.494897158467,0.483627929439,0,0,0,0,0.055897257856,1.22204388287,0.71421738392,101315.306996,0.997586843159,101315.306996,0,0,0
unnamed_block_0,13,-0.00514826568749,0,0,0,0,0.990345266042,0.999950069856,0.487765080067,4.33680868994e-19,0.103761624027,0.498679504244,0.487765080067,0,0,0,0,0.0602188227522,1.22209977518,0.714250049897,101319.940828,0.997632469532,101319.940828,0,0,0
unnamed_block_0,14,-0.00353725974576,0,0,0,0,0.99036074021,0.9999656941,0.490423967145,0,0.102942934733,0.501111679531,0.490423967145,0,0,0,0,0.0630008961978,1.22211887052,0.714261210071,101321.523955,0.997648057563,101321.523955,0,0,0
unnamed_block_0,15,0.00556467723238,0,0,0,0,0.990448166895,1.00005396869,0.495537028517,-4.33680868994e-19,0.101370587305,0.505799310598,0.495537028517,0,0,0,0,0.0683502581245,1.22222675625,0.714324263347,101330.468377,0.997736127555,101330.468377,0,0,0
unnamed_block_0,16,0.00859782237553,0,0,0,0,0.990477301113,1.00008338546,0.496662941762,0,0.101017861053,0.506832009616,0.496662941762,0,0,0,0,0.0695301294925,1.22226270828,0.71434527533,101333.449032,0.99776547615,101333.449032,0,0,0
unnamed_block_0,17,0.0101214397584,0,0,0,0,0.99049193589,1.00009816217,0.498339566401,0,0.100502771564,0.508373023018,0.498339566401,0,0,0,0,0.0712840928222,1.2222807678,0.714355830123,101334.946282,0.997780218613,101334.946282,0,0,0
unnamed_block_0,18,0.0163615063537,0,0,0,0,0.990551873498,1.00015868108,0.502891543298,0,0.0990651140212,0.512556144375,0.502891543298,0,0,0,0,0.0760577028696,1.22235473164,0.714399057916,101341.078361,0.997840597257,101341.078361,0,0,0
unnamed_block_0,19,0.0215841846977,0,0,0,0,0.990602038804,1.00020933291,0.505508648318,0,0.0982625648665,0.514970411945,0.505508648318,0,0,0,0,0.0787950964894,1.22241663632,0.714435237795,101346.210657,0.997891131691,101346.210657,0,0,0
unnamed_block_0,20,0.0269650725436,0,0,0,0,0.990653723757,1.00026151913,0.508195856244,0,0.097416817696,0.51744861066,0.508195856244,0,0,0,0,0.0816122536936,1.22248041627,0.714472513664,101351.498426,0.997943196954,101351.498426,0,0,0
unnamed_block_0,21,0.0313038870055,0,0,0,0,0.990695399299,1.00030359886,0.511692413675,0,0.0963367161516,0.520682138249,0.511692413675,0,0,0,0,0.0852718347097,1.22253184447,0.714502570614,101355.762154,0.997985179156,101355.762154,0,0,0
unnamed_block_0,22,0.0319668907532,0,0,0,0,0.990701767638,1.00031002896,0.512270882324,0,0.0961570467634,0.521217454158,0.512270882324,0,0,0,0,0.0858775632523,1.22253970308,0.714507163544,101356.413685,0.997991594355,101356.413685,0,0,0
unnamed_block_0,23,0.0386202487707,0,0,0,0,0.990765675027,1.00037455615,0.516403073612,0,0.0948684135094,0.525044903144,0.516403073612,0,0,0,0,0.0902060249308,1.22261856569,0.714553254395,101362.951902,0.99805597199,101362.951902,0,0,0
unnamed_block_0,24,0.0391757508907,0,0,0,0,0.990771010783,1.00037994366,0.516716472824,0,0.094770601262,0.525335492948,0.516716472824,0,0,0,0,0.0905343331727,1.22262515008,0.714557102612,101363.497791,0.998061347007,101363.497791,0,0,0
unnamed_block_0,25,0.0402198227102,0,0,0,0,0.990781039389,1.00039006952,0.517438800338,0,0.094547271159,0.526005797096,0.517438800338,0,0,0,0,0.0912903975698,1.22263752552,0.714564335374,101364.523795,0.998071449406,101364.523795,0,0,0
unnamed_block_0,26,0.0438515130179,0,0,0,0,0.990815922803,1.00042529125,0.520070726234,0,0.0937206263404,0.528447836676,0.520070726234,0,0,0,0,0.0940490884877,1.22268057214,0.714589493752,101368.092636,0.998106589501,101368.092636,0,0,0
unnamed_block_0,27,0.0458227543871,0,0,0,0,0.990834857135,1.00044440922,0.521347756525,0,0.0933259207482,0.529634978752,0.521347756525,0,0,0,0,0.095385725637,1.22270393737,0.714603149442,101370.029764,0.998125663157,101370.029764,0,0,0
unnamed_block_0,28,0.0488549785666,0,0,0,0,0.990863982508,1.00047381706,0.523236970729,0,0.0927374923121,0.531391729346,0.523236970729,0,0,0,0,0.0973644571324,1.22273987848,0.714624155044,101373.009514,0.998155002841,101373.009514,0,0,0
unnamed_block_0,29,0.0524504886254,0,0,0,0,0.990898518401,1.0005086879,0.525662375216,0,0.091989095314,0.533650565796,0.525662375216,0,0,0,0,0.099902701603,1.22278249625,0.714649062785,101376.542801,0.998189792858,101376.542801,0,0,0
unnamed_block_0,30,0.0526342277464,0,0,0,0,0.990900283267,1.00051046988,0.525815333245,0,0.0919411668161,0.533792977502,0.525815333245,0,0,0,0,0.100062992899,1.22278467412,0.71465033563,101376.723361,0.99819157071,101376.723361,0,0,0
unnamed_block_0,31,0.0531992932838,0,0,0,0,0.990905710882,1.00051595014,0.526092751484,0,0.0918558285232,0.534051567171,0.526092751484,0,0,0,0,0.100353240214,1.22279137187,0.714654250097,101377.278648,0.998197038263,101377.278648,0,0,0
unnamed_block_0,32,0.0570412576637,0,0,0,0,0.990942614039,1.0005532112,0.528068837831,0,0.091239242578,0.535892990134,0.528068837831,0,0,0,0,0.10242328743,1.22283691088,0.71468086514,101381.054124,0.998234212962,101381.054124,0,0,0
unnamed_block_0,33,0.0576977523268,0,0,0,0,0.990948919856,1.00055957817,0.529133533488,0,0.0909126909732,0.536886779164,0.529133533488,0,0,0,0,0.103536935845,1.22284469234,0.714685412979,101381.699258,0.998240565179,101381.699258,0,0,0
